sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
790	0.61735183	0.61735183	0	0	0.256901592	0.2235448211	0.8301563263	4.121212006
791	0.6239483356	0.6239483356	0	0	0.2509203553	0.2216727585	0.8179813623	4.12112093
792	0.5979918838	0.5979918838	0	0	0.2463551462	0.2169691324	0.8098791242	4.121265888
793	0.615557313	0.615557313	0	0	0.2453095317	0.2250136435	0.8182121515	4.121337891
794	0.6018202305	0.6018202305	0	0	0.2517299056	0.2105370015	0.8306776881	4.121489525
795	0.6216183305	0.6216183305	0	0	0.2557381094	0.2164605707	0.837831378	4.121646881
796	0.6073223948	0.6073223948	0	0	0.2576716542	0.2291937619	0.846394062	4.121863365
797	0.5997998118	0.5997998118	0	0	0.2569712102	0.2208789438	0.8344976306	4.121712208
798	0.6213904023	0.6213904023	0	0	0.2536032498	0.2283495516	0.8229245543	4.121202946
799	0.6275980473	0.6275980473	0	0	0.2504984438	0.2249782681	0.8174514771	4.121168137
800	0.6240137815	0.6240137815	0	0	0.2421766967	0.2382612675	0.8086750507	4.12126255
801	0.6556257606	0.6556257606	0	0	0.2397123128	0.2605779767	0.8235681653	4.121422291
802	0.6438217163	0.6438217163	0	0	0.2519025207	0.2317135632	0.835490346	4.121465206
803	0.6699872613	0.6699872613	0	0	0.2577579021	0.2367575765	0.8406495452	4.121510983
804	0.5860112906	0.5860112906	0	0	0.2612635791	0.2365223765	0.8494459987	4.12167263
805	0.5705702901	0.5705702901	0	0	0.2607913315	0.2294050157	0.8406748176	4.121559143
806	0.5374780297	0.5374780297	0	0	0.2533273995	0.2321947217	0.8168433905	4.121194363
807	0.5896559954	0.5896559954	0	0	0.2452254593	0.2368687838	0.800962925	4.121146202
808	0.6200769544	0.6200769544	0	0	0.2423269451	0.2413132042	0.8036224842	4.121242523
809	0.5623982549	0.5623982549	0	0	0.2387606055	0.2425574809	0.809591949	4.121325493
810	0.4938071668	0.4938071668	0	0	0.2490237951	0.2297766358	0.8266695738	4.121494293
811	0.4753995538	0.4753995538	0	0	0.2609091699	0.2222893089	0.8447711468	4.121616364
812	0.4429093003	0.4429093003	0	0	0.2628617883	0.2179745734	0.8452838659	4.121761322
813	0.4879723489	0.4879723489	0	0	0.2609497905	0.2334377021	0.8401989937	4.121712685
814	0.4753476083	0.4753476083	0	0	0.2598257065	0.2189186215	0.8296436071	4.121290207
815	0.5050988793	0.5050988793	0	0	0.2550822794	0.2248011082	0.828175962	4.121109486
816	0.4956732392	0.4956732392	0	0	0.2480205148	0.228321597	0.8219389915	4.121203899
817	0.4970070422	0.4970070422	0	0	0.2509350479	0.2259140909	0.8343703747	4.121300697
818	0.5142813325	0.5142813325	0	0	0.2593253553	0.2241428643	0.8499617577	4.121413231
819	0.5291327238	0.5291327238	0	0	0.2704750896	0.2133933008	0.8613863587	4.121631622
820	0.5142804384	0.5142804384	0	0	0.2656454444	0.2381848395	0.8569909334	4.121748447
821	0.5381827354	0.5381827354	0	0	0.2647532225	0.2430533916	0.8507437706	4.12166214
822	0.4868676364	0.4868676364	0	0	0.2626681924	0.2239992023	0.8396480083	4.121292591
823	0.5023537278	0.5023537278	0	0	0.2533898056	0.2265527844	0.8210055828	4.121146202
824	0.5086885095	0.5086885095	0	0	0.2486610413	0.2352855802	0.8239723444	4.121229172
825	0.5247523785	0.5247523785	0	0	0.2497680932	0.2465310395	0.8423819542	4.121335506
826	0.5320776701	0.5320776701	0	0	0.2576158047	0.2263715863	0.8454972506	4.121416569
827	0.5604686737	0.5604686737	0	0	0.267791003	0.2255342603	0.8566471338	4.121495724
828	0.5341392756	0.5341392756	0	0	0.2657129765	0.2408563346	0.8558323383	4.12155962
829	0.5239689946	0.5239689946	0	0	0.2614135146	0.2494572848	0.8464055657	4.121569157
830	0.4890090823	0.4890090823	0	0	0.25893718	0.2429784387	0.8385263085	4.121253014
831	0.5011776686	0.5011776686	0	0	0.2530174851	0.2384192646	0.8281439543	4.121123314
832	0.5287867785	0.5287867785	0	0	0.2527032197	0.2343606502	0.8302966356	4.121214867
833	0.4568555057	0.4568555057	0	0	0.2524294257	0.2321662605	0.8386750817	4.121275902
834	0.4205793738	0.4205793738	0	0	0.2567415833	0.2226566374	0.8436629176	4.121369362
835	0.4336182773	0.4336182773	0	0	0.2647951841	0.2225874066	0.8549204469	4.121579647
836	0.4206240177	0.4206240177	0	0	0.2670283914	0.2254585773	0.8576264977	4.121787548
837	0.4799562991	0.4799562991	0	0	0.2623355389	0.2412772924	0.8475372791	4.121817589
838	0.4404824972	0.4404824972	0	0	0.2571058869	0.2346534729	0.833006978	4.121340275
839	0.4620036185	0.4620036185	0	0	0.2525130212	0.2238287479	0.826446414	4.121149063
840	0.4811936319	0.4811936319	0	0	0.2503618598	0.2229628563	0.8274527788	4.121214867
841	0.452431947	0.452431947	0	0	0.2521916628	0.2076304704	0.8331059813	4.121273994
842	0.4548793435	0.4548793435	0	0	0.2567763031	0.2070716172	0.8435447216	4.121357441
843	0.4744181037	0.4744181037	0	0	0.2633870244	0.2051611245	0.8520064354	4.121538639
844	0.492988497	0.492988497	0	0	0.265283972	0.2197182924	0.8559192419	4.121922493
845	0.5233250856	0.5233250856	0	0	0.2598784566	0.2407876253	0.8481248021	4.121753693
846	0.5199649334	0.5199649334	0	0	0.2583130598	0.2283993959	0.8386466503	4.12128973
847	0.5503692627	0.5503692627	0	0	0.2496574223	0.2293435782	0.8226174116	4.121124744
848	0.5519214869	0.5519214869	0	0	0.2442424446	0.2371422499	0.8183751702	4.121154785
849	0.5346161127	0.5346161127	0	0	0.2479940653	0.2308275402	0.8360555768	4.121375084
850	0.5094289184	0.5094289184	0	0	0.2565790713	0.2245414406	0.8525674939	4.121416569
851	0.5278375149	0.5278375149	0	0	0.264385283	0.2237629145	0.8623820543	4.121520519
852	0.5303697586	0.5303697586	0	0	0.2627124488	0.2346368134	0.8581135273	4.121712685
853	0.5404849052	0.5404849052	0	0	0.2592965961	0.246975556	0.8506207466	4.121771336
854	0.5107945204	0.5107945204	0	0	0.2591784894	0.230091393	0.8441732526	4.121474266
855	0.584936142	0.584936142	0	0	0.2521942854	0.2350355983	0.834659934	4.121284962
856	0.6071658134	0.6071658134	0	0	0.2507787049	0.2246115506	0.831371665	4.121303558
857	0.5820664763	0.5820664763	0	0	0.2498557419	0.2146421671	0.8292149305	4.121316433
858	0.5305308104	0.5305308104	0	0	0.2522318959	0.2140992731	0.8367061615	4.12141037
859	0.5247454643	0.5247454643	0	0	0.2639346123	0.1902280003	0.8486322761	4.121527672
860	0.5407879949	0.5407879949	0	0	0.2646030784	0.2021634877	0.8485156298	4.121857166
861	0.5255279541	0.5255279541	0	0	0.2603889108	0.2249886394	0.8429108858	4.122065067
862	0.5512568951	0.5512568951	0	0	0.2593826056	0.2171234339	0.8383334279	4.12152338
863	0.5933340788	0.5933340788	0	0	0.2537181079	0.2118830979	0.8280810118	4.121321678
864	0.6161658168	0.6161658168	0	0	0.2498494834	0.2145036459	0.8279736638	4.12127018
865	0.5719653964	0.5719653964	0	0	0.2506741583	0.2006244212	0.8306515813	4.121335506
866	0.5443579555	0.5443579555	0	0	0.2532265186	0.2097399533	0.8427437544	4.121433735
867	0.5627314448	0.5627314448	0	0	0.259432286	0.1987131238	0.8429363966	4.121555328
868	0.5651116967	0.5651116967	0	0	0.2620694935	0.2105027884	0.8473656178	4.121863365
869	0.5569964647	0.5569964647	0	0	0.263155818	0.2247953862	0.8490890265	4.121788025
870	0.551502943	0.551502943	0	0	0.2604058087	0.2189224064	0.8429083228	4.121422768
871	0.5737067461	0.5737067461	0	0	0.252691865	0.2137338966	0.8278052211	4.121221542
872	0.5624329448	0.5624329448	0	0	0.2487604916	0.216584757	0.8268033266	4.121201515
873	0.5514968038	0.5514968038	0	0	0.2500276268	0.222843051	0.8402007222	4.121295452
874	0.5047211647	0.5047211647	0	0	0.2529546022	0.2338602692	0.8530938029	4.121304035
875	0.5158175826	0.5158175826	0	0	0.2637518346	0.2105142772	0.85966748	4.121447086
876	0.5743797421	0.5743797421	0	0	0.2698815465	0.2119760066	0.8642507195	4.121686459
877	0.6096068621	0.6096068621	0	0	0.2677358091	0.2263928801	0.8588291407	4.121808529
878	0.6226072907	0.6226072907	0	0	0.2649426758	0.2237438262	0.852553308	4.121479034
879	0.5991837382	0.5991837382	0	0	0.2566475272	0.2199885547	0.8394943476	4.121400356
880	0.6445979476	0.6445979476	0	0	0.2559844851	0.2172144204	0.8427816033	4.121364594
881	0.588631928	0.588631928	0	0	0.251445204	0.2118875235	0.8365821838	4.121391296
882	0.5736874938	0.5736874938	0	0	0.2550886869	0.2115435302	0.8481675386	4.121431828
883	0.5666518211	0.5666518211	0	0	0.2632300258	0.2051049173	0.8559863567	4.121634007
884	0.5891193748	0.5891193748	0	0	0.2684240937	0.2055605501	0.8583502173	4.121795177
885	0.5967432857	0.5967432857	0	0	0.2654188275	0.2305891216	0.8548780084	4.122303486
886	0.6076391339	0.6076391339	0	0	0.2621462345	0.220462203	0.843776226	4.12172699
887	0.6262589693	0.6262589693	0	0	0.2576605678	0.2257289141	0.8431068659	4.121450424
888	0.6421359777	0.6421359777	0	0	0.2534595132	0.2187132835	0.8371521235	4.121369362
889	0.6043213606	0.6043213606	0	0	0.2494364083	0.2204520851	0.8353430629	4.121404171
890	0.5705634356	0.5705634356	0	0	0.2488126308	0.2255102992	0.8411206007	4.121439934
891	0.560875535	0.560875535	0	0	0.2575091422	0.209068507	0.8476768732	4.121671677
892	0.5844920278	0.5844920278	0	0	0.2667976916	0.2083934546	0.8558254242	4.12184763
893	0.5415665507	0.5415665507	0	0	0.270141691	0.2089113444	0.8567404151	4.122146606
894	0.5588256121	0.5588256121	0	0	0.2665577531	0.2109282762	0.8479033709	4.121715069
895	0.5848966241	0.5848966241	0	0	0.2608116269	0.2151310742	0.8423634768	4.121683121
896	0.5897188783	0.5897188783	0	0	0.2562854886	0.2145754099	0.8418915868	4.121486187
897	0.5188712478	0.5188712478	0	0	0.2502679229	0.2179323584	0.8385956287	4.121433735
898	0.5217157602	0.5217157602	0	0	0.2524001002	0.2241815329	0.8507935405	4.121579647
899	0.5362921953	0.5362921953	0	0	0.2604493499	0.2151757181	0.8588113189	4.121778011
900	0.5544062853	0.5544062853	0	0	0.2693120539	0.2159338444	0.8670985699	4.122188568
901	0.5708737373	0.5708737373	0	0	0.2695407271	0.2245351225	0.8630864024	4.122569084
902	0.5857441425	0.5857441425	0	0	0.2677666843	0.2273212224	0.8575606346	4.122280598
903	0.5808649659	0.5808649659	0	0	0.2627064288	0.2192638069	0.8487359881	4.122195244
904	0.5936080813	0.5936080813	0	0	0.2605203986	0.2104470581	0.8494698405	4.121972084
905	0.5631219149	0.5631219149	0	0	0.2541309595	0.2170987576	0.8447069526	4.122016907
906	0.543284297	0.543284297	0	0	0.2496893257	0.2235705256	0.8449388146	4.12186718
907	0.5472159386	0.5472159386	0	0	0.2571829855	0.2178569138	0.853689909	4.122152328
908	0.5715306401	0.5715306401	0	0	0.265999645	0.2221062779	0.8626398444	4.122730732
909	0.5881411433	0.5881411433	0	0	0.2665150166	0.2364139557	0.8587448597	4.123195648
910	0.5569829345	0.5569829345	0	0	0.2704217136	0.2191838473	0.8583205342	4.122620106
911	0.5672730803	0.5672730803	0	0	0.2617856562	0.2286850661	0.849319458	4.122246265
912	0.5751006007	0.5751006007	0	0	0.2575345635	0.2227720767	0.8478289247	4.122092247
913	0.5327804089	0.5327804089	0	0	0.2516320944	0.2212223262	0.8421677351	4.122088909
914	0.5362499952	0.5362499952	0	0	0.2491952628	0.2248971313	0.8446202278	4.12229538
915	0.5460067391	0.5460067391	0	0	0.2569294274	0.2116069496	0.8518515229	4.122507572
916	0.5638375282	0.5638375282	0	0	0.2593584061	0.2410790324	0.8587299585	4.122914791
917	0.5361853242	0.5361853242	0	0	0.2587893903	0.2461067587	0.8513976336	4.123213768
918	0.5427535176	0.5427535176	0	0	0.2611014843	0.2430948317	0.8512581587	4.123091698
919	0.5272762775	0.5272762775	0	0	0.2580065727	0.2226070166	0.8416685462	4.122727394
920	0.5147770643	0.5147770643	0	0	0.2472991049	0.2340043634	0.8327846527	4.122145653
921	0.5134997368	0.5134997368	0	0	0.2435357869	0.2456608713	0.8373307586	4.122527599
922	0.5666005015	0.5666005015	0	0	0.2469656616	0.2328078002	0.8400433064	4.122209072
923	0.5737078786	0.5737078786	0	0	0.265121907	0.1913263202	0.8581002355	4.122428894
