experiment	MAE	MSE	RMSE	MAPE	MSPE
long_term_forecast_ETTh1_96_48_Koopa_ETTh1_ftM_sl96_ll48_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.3841482997	0.3473975658	0.5894044042	9.879699707	45720.47656
long_term_forecast_ETTh1_96_48_koopa_full_samplewise_0822_Koopa_ETTh1_ftM_sl96_ll48_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_koopa_full_samplewise_0822_0	0.3841482997	0.3473975658	0.5894044042	9.879699707	45720.47656
long_term_forecast_ETTh1_96_48_koopa_novar_from_start_0822_Koopa_NoVar_ETTh1_ftM_sl96_ll48_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_koopa_novar_from_start_0822_0	0.3796995878	0.3414056897	0.5842993259	9.383094788	42515.19531
long_term_forecast_ETTh1_96_48_koopa_smoke_0822_Koopa_ETTh1_ftM_sl96_ll48_pl48_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_koopa_smoke_0822_0	0.3970222175	0.3670964241	0.60588485	9.888717651	43087.44141
long_term_forecast_ETTh1_96_720_DLinear_ETTh1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.5104044676	0.512637794	0.7159872651	8.729131699	30288.38867
long_term_forecast_ETTh1_96_720_Nonstationary_Transformer_ETTh1_ftM_sl96_ll48_pl720_dm128_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.5634280443	0.6184538007	0.7864183187	14.46920204	78387.75781
long_term_forecast_ETTh1_96_720_TimeMixer_ETTh1_ftM_sl96_ll0_pl720_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_Exp_0	0.5033810735	0.5437509418	0.7373946905	11.90356731	57000.24219
long_term_forecast_ETTh1_96_720_TimesNet_ETTh1_ftM_sl96_ll48_pl720_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0	0.4929518998	0.5143887401	0.7172089815	11.11327171	48593.38281
long_term_forecast_ETTh1_96_96_A0_PatchTST_ETTh1_ftM_sl96_ll48_pl96_dm64_nh4_el1_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_A0_0	0.4016337395	0.3908533454	0.6251826286	9.430318832	41465.8125
long_term_forecast_ETTh1_96_96_A1_PatchTST_FPEM_ETTh1_ftM_sl96_ll48_pl96_dm64_nh4_el1_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_fpem_pmg_A1_0	0.4127490819	0.4035449028	0.6352518201	9.460917473	36934.16016
