sample,mae_with_control,mae_without_control,better
653,0.7456881999969482,0.7456881999969482,no_control
654,0.7455618381500244,0.7455618381500244,no_control
655,0.7390422224998474,0.7390422224998474,no_control
656,0.727184534072876,0.727184534072876,no_control
657,0.7169578075408936,0.7169578075408936,no_control
658,0.7256337404251099,0.7256337404251099,no_control
659,0.7386943697929382,0.7386943697929382,no_control
660,0.7479414343833923,0.7479414343833923,no_control
661,0.7524396181106567,0.7524396181106567,no_control
662,0.7681553363800049,0.7681553363800049,no_control
663,0.7730473875999451,0.7730473875999451,no_control
664,0.7771259546279907,0.7771259546279907,no_control
665,0.7807102203369141,0.7807102203369141,no_control
666,0.7768504023551941,0.7768504023551941,no_control
667,0.7726986408233643,0.7726986408233643,no_control
668,0.76915043592453,0.76915043592453,no_control
669,0.7676867842674255,0.7676867842674255,no_control
670,0.7654958367347717,0.7654958367347717,no_control
671,0.7629725933074951,0.7629725933074951,no_control
672,0.7584618926048279,0.7584618926048279,no_control
673,0.7508670687675476,0.7508670687675476,no_control
674,0.7412953972816467,0.7412953972816467,no_control
675,0.7341420650482178,0.7341420650482178,no_control
676,0.7250940203666687,0.7250940203666687,no_control
677,0.7191212177276611,0.7191212177276611,no_control
678,0.7061766982078552,0.7061766982078552,no_control
679,0.6963471174240112,0.6963471174240112,no_control
680,0.6820228099822998,0.6820228099822998,no_control
681,0.6751540899276733,0.6751540899276733,no_control
682,0.6829978227615356,0.6829978227615356,no_control
683,0.6987498998641968,0.6987498998641968,no_control
684,0.7178052663803101,0.7178052663803101,no_control
685,0.736009955406189,0.736009955406189,no_control
686,0.7461293935775757,0.7461293935775757,no_control
687,0.7633004188537598,0.7633004188537598,no_control
688,0.7743112444877625,0.7743112444877625,no_control
689,0.7769279479980469,0.7769279479980469,no_control
690,0.7765905261039734,0.7765905261039734,no_control
691,0.7707971334457397,0.7707971334457397,no_control
692,0.7633557915687561,0.7633557915687561,no_control
693,0.7637025117874146,0.7637025117874146,no_control
694,0.764899492263794,0.764899492263794,no_control
695,0.771331787109375,0.771331787109375,no_control
696,0.778020441532135,0.778020441532135,no_control
697,0.7831170558929443,0.7831170558929443,no_control
698,0.7920629382133484,0.7920629382133484,no_control
699,0.7982333302497864,0.7982333302497864,no_control
700,0.8023403882980347,0.8023403882980347,no_control
701,0.8067451119422913,0.8067451119422913,no_control
702,0.8152066469192505,0.8152066469192505,no_control
703,0.8283219933509827,0.8283219933509827,no_control
704,0.8384827375411987,0.8384827375411987,no_control
705,0.8420248627662659,0.8420248627662659,no_control
706,0.8453047871589661,0.8453047871589661,no_control
707,0.8461469411849976,0.8461469411849976,no_control
708,0.8551678657531738,0.8551678657531738,no_control
709,0.8564185500144958,0.8564185500144958,no_control
710,0.8584970831871033,0.8584970831871033,no_control
711,0.857761025428772,0.857761025428772,no_control
712,0.8534026741981506,0.8534026741981506,no_control
713,0.8527727127075195,0.8527727127075195,no_control
714,0.8547208905220032,0.8547208905220032,no_control
715,0.8540985584259033,0.8540985584259033,no_control
716,0.8539438247680664,0.8539438247680664,no_control
717,0.8532344698905945,0.8532344698905945,no_control
718,0.8512957692146301,0.8512957692146301,no_control
719,0.8523498177528381,0.8523498177528381,no_control
720,0.8579997420310974,0.8579997420310974,no_control
721,0.8690393567085266,0.8690393567085266,no_control
722,0.8772456645965576,0.8772456645965576,no_control
723,0.8867185711860657,0.8867185711860657,no_control
724,0.8956825137138367,0.8956825137138367,no_control
725,0.907531201839447,0.907531201839447,no_control
726,0.9192174673080444,0.9192174673080444,no_control
727,0.9263074398040771,0.9263074398040771,no_control
728,0.9370443224906921,0.9370443224906921,no_control
729,0.9400424361228943,0.9400424361228943,no_control
730,0.9396350383758545,0.9396350383758545,no_control
731,0.9332980513572693,0.9332980513572693,no_control
732,0.9300729036331177,0.9300729036331177,no_control
733,0.9217355847358704,0.9217355847358704,no_control
734,0.9155597686767578,0.9155597686767578,no_control
735,0.9114120006561279,0.9114120006561279,no_control
736,0.9015852808952332,0.9015852808952332,no_control
737,0.8980929255485535,0.8980929255485535,no_control
738,0.8970643877983093,0.8970643877983093,no_control
739,0.8948568105697632,0.8948568105697632,no_control
740,0.8930074572563171,0.8930074572563171,no_control
741,0.8869176506996155,0.8869176506996155,no_control
742,0.8885945081710815,0.8885945081710815,no_control
743,0.8870397210121155,0.8870397210121155,no_control
744,0.8867417573928833,0.8867417573928833,no_control
745,0.8846753835678101,0.8846753835678101,no_control
746,0.8778011202812195,0.8778011202812195,no_control
747,0.8721413612365723,0.8721413612365723,no_control
748,0.8677487969398499,0.8677487969398499,no_control
749,0.8631268739700317,0.8631268739700317,no_control
750,0.8595560193061829,0.8595560193061829,no_control
751,0.8550690412521362,0.8550690412521362,no_control
752,0.8551982045173645,0.8551982045173645,no_control
753,0.8574317693710327,0.8574317693710327,no_control
754,0.8588414788246155,0.8588414788246155,no_control
755,0.8600696325302124,0.8600696325302124,no_control
756,0.8604371547698975,0.8604371547698975,no_control
757,0.8641143441200256,0.8641143441200256,no_control
758,0.8688428401947021,0.8688428401947021,no_control
759,0.8771195411682129,0.8771195411682129,no_control
760,0.8835998177528381,0.8835998177528381,no_control
761,0.8794221878051758,0.8794221878051758,no_control
762,0.8790769577026367,0.8790769577026367,no_control
763,0.8782367706298828,0.8782367706298828,no_control
764,0.873900830745697,0.873900830745697,no_control
765,0.8699023127555847,0.8699023127555847,no_control
766,0.8688797950744629,0.8688797950744629,no_control
767,0.8678298592567444,0.8678298592567444,no_control
768,0.8636777997016907,0.8636777997016907,no_control
769,0.8511788845062256,0.8511788845062256,no_control
770,0.8436190485954285,0.8436190485954285,no_control
771,0.8310882449150085,0.8310882449150085,no_control
772,0.8274258375167847,0.8274258375167847,no_control
773,0.8195729851722717,0.8195729851722717,no_control
774,0.8147215247154236,0.8147215247154236,no_control
775,0.8159089684486389,0.8159089684486389,no_control
776,0.8091908693313599,0.8091908693313599,no_control
777,0.8096358180046082,0.8096358180046082,no_control
778,0.8128673434257507,0.8128673434257507,no_control
779,0.8204920887947083,0.8204920887947083,no_control
780,0.8264279961585999,0.8264279961585999,no_control
781,0.8474644422531128,0.8474644422531128,no_control
782,0.8539729714393616,0.8539729714393616,no_control
783,0.8598474860191345,0.8598474860191345,no_control
784,0.8695809841156006,0.8695809841156006,no_control
785,0.8707165718078613,0.8707165718078613,no_control
786,0.8690870404243469,0.8690870404243469,no_control
787,0.8700911998748779,0.8700911998748779,no_control
788,0.8715918660163879,0.8715918660163879,no_control
789,0.8727075457572937,0.8727075457572937,no_control
790,0.8682953119277954,0.8682953119277954,no_control
791,0.8626805543899536,0.8626805543899536,no_control
792,0.8570865392684937,0.8570865392684937,no_control
793,0.8540149331092834,0.8540149331092834,no_control
794,0.8510037660598755,0.8510037660598755,no_control
795,0.8495465517044067,0.8495465517044067,no_control
796,0.8416593074798584,0.8416593074798584,no_control
797,0.8395189642906189,0.8395189642906189,no_control
798,0.832253634929657,0.832253634929657,no_control
799,0.8297715187072754,0.8297715187072754,no_control
800,0.826857328414917,0.826857328414917,no_control
801,0.821674644947052,0.821674644947052,no_control
802,0.808576762676239,0.808576762676239,no_control
803,0.7926886677742004,0.7926886677742004,no_control
804,0.774973452091217,0.774973452091217,no_control
805,0.7541468739509583,0.7541468739509583,no_control
806,0.7322092056274414,0.7322092056274414,no_control
807,0.7181188464164734,0.7181188464164734,no_control
808,0.712887167930603,0.712887167930603,no_control
809,0.7104965448379517,0.7104965448379517,no_control
810,0.7079135775566101,0.7079135775566101,no_control
811,0.7058157324790955,0.7058157324790955,no_control
812,0.7080358266830444,0.7080358266830444,no_control
813,0.7080842852592468,0.7080842852592468,no_control
814,0.7068080306053162,0.7068080306053162,no_control
815,0.7036689519882202,0.7036689519882202,no_control
816,0.7009500861167908,0.7009500861167908,no_control
817,0.7001540064811707,0.7001540064811707,no_control
818,0.6964841485023499,0.6964841485023499,no_control
819,0.6978062391281128,0.6978062391281128,no_control
820,0.6962155699729919,0.6962155699729919,no_control
821,0.696203351020813,0.696203351020813,no_control
822,0.697740912437439,0.697740912437439,no_control
823,0.6974913477897644,0.6974913477897644,no_control
824,0.6985669732093811,0.6985669732093811,no_control
825,0.7005423903465271,0.7005423903465271,no_control
826,0.6952739953994751,0.6952739953994751,no_control
827,0.6818484663963318,0.6818484663963318,no_control
828,0.6670131087303162,0.6670131087303162,no_control
829,0.6387718915939331,0.6387718915939331,no_control
830,0.6268392205238342,0.6268392205238342,no_control
831,0.6076161861419678,0.6076161861419678,no_control
832,0.59498131275177,0.59498131275177,no_control
833,0.5929132103919983,0.5929132103919983,no_control
834,0.5945165157318115,0.5945165157318115,no_control
835,0.596049427986145,0.596049427986145,no_control
836,0.5970616340637207,0.5970616340637207,no_control
837,0.5985395312309265,0.5985395312309265,no_control
