sample,mae_with_control,mae_without_control,better
1726,0.6562992334365845,0.6562992334365845,no_control
1727,0.6560865640640259,0.6560865640640259,no_control
1728,0.6558102965354919,0.6558102965354919,no_control
1729,0.6599313616752625,0.6599313616752625,no_control
1730,0.6598684191703796,0.6598684191703796,no_control
1731,0.6584470272064209,0.6584470272064209,no_control
1732,0.658049464225769,0.658049464225769,no_control
1733,0.6563763618469238,0.6563763618469238,no_control
1734,0.6578279733657837,0.6578279733657837,no_control
1735,0.6584921479225159,0.6584921479225159,no_control
1736,0.656862199306488,0.656862199306488,no_control
1737,0.6539735198020935,0.6539735198020935,no_control
1738,0.6564149856567383,0.6564149856567383,no_control
1739,0.6648411154747009,0.6648411154747009,no_control
1740,0.6676031947135925,0.6676031947135925,no_control
1741,0.6757608652114868,0.6757608652114868,no_control
1742,0.6812092065811157,0.6812092065811157,no_control
1743,0.6855518817901611,0.6855518817901611,no_control
1744,0.6857207417488098,0.6857207417488098,no_control
1745,0.6897941827774048,0.6897941827774048,no_control
1746,0.6929118037223816,0.6929118037223816,no_control
1747,0.6956452131271362,0.6956452131271362,no_control
1748,0.6980276703834534,0.6980276703834534,no_control
1749,0.6993215680122375,0.6993215680122375,no_control
1750,0.7023022174835205,0.7023022174835205,no_control
1751,0.7047750353813171,0.7047750353813171,no_control
1752,0.7068374156951904,0.7068374156951904,no_control
1753,0.709050178527832,0.709050178527832,no_control
1754,0.713816225528717,0.713816225528717,no_control
1755,0.7191163897514343,0.7191163897514343,no_control
1756,0.7250980138778687,0.7250980138778687,no_control
1757,0.7296760082244873,0.7296760082244873,no_control
1758,0.7349191308021545,0.7349191308021545,no_control
1759,0.7360303997993469,0.7360303997993469,no_control
1760,0.7413991689682007,0.7413991689682007,no_control
1761,0.7423455715179443,0.7423455715179443,no_control
1762,0.7436431050300598,0.7436431050300598,no_control
1763,0.7448746562004089,0.7448746562004089,no_control
1764,0.7475262880325317,0.7475262880325317,no_control
1765,0.7466059327125549,0.7466059327125549,no_control
1766,0.7460466623306274,0.7460466623306274,no_control
1767,0.7483721375465393,0.7483721375465393,no_control
1768,0.7533639669418335,0.7533639669418335,no_control
1769,0.7560579180717468,0.7560579180717468,no_control
1770,0.759350061416626,0.759350061416626,no_control
1771,0.7596258521080017,0.7596258521080017,no_control
1772,0.7607244849205017,0.7607244849205017,no_control
1773,0.7620535492897034,0.7620535492897034,no_control
1774,0.7622904181480408,0.7622904181480408,no_control
1775,0.7645127773284912,0.7645127773284912,no_control
1776,0.7608182430267334,0.7608182430267334,no_control
1777,0.7617576122283936,0.7617576122283936,no_control
1778,0.7665111422538757,0.7665111422538757,no_control
1779,0.771518886089325,0.771518886089325,no_control
1780,0.776934802532196,0.776934802532196,no_control
1781,0.7837876677513123,0.7837876677513123,no_control
1782,0.790834903717041,0.790834903717041,no_control
1783,0.7974293231964111,0.7974293231964111,no_control
1784,0.8061913847923279,0.8061913847923279,no_control
1785,0.8068439960479736,0.8068439960479736,no_control
1786,0.7986332178115845,0.7986332178115845,no_control
1787,0.7909916639328003,0.7909916639328003,no_control
1788,0.7940082550048828,0.7940082550048828,no_control
1789,0.8032052516937256,0.8032052516937256,no_control
1790,0.8164030909538269,0.8164030909538269,no_control
1791,0.8240683674812317,0.8240683674812317,no_control
1792,0.8326389789581299,0.8326389789581299,no_control
1793,0.8232728838920593,0.8232728838920593,no_control
1794,0.8180379271507263,0.8180379271507263,no_control
1795,0.8157737255096436,0.8157737255096436,no_control
1796,0.8172838091850281,0.8172838091850281,no_control
1797,0.8197575807571411,0.8197575807571411,no_control
1798,0.8248220086097717,0.8248220086097717,no_control
1799,0.8336281776428223,0.8336281776428223,no_control
1800,0.8423775434494019,0.8423775434494019,no_control
1801,0.8585196137428284,0.8585196137428284,no_control
1802,0.867607831954956,0.867607831954956,no_control
1803,0.8755128383636475,0.8755128383636475,no_control
1804,0.8813273310661316,0.8813273310661316,no_control
1805,0.8898898959159851,0.8898898959159851,no_control
1806,0.9039377570152283,0.9039377570152283,no_control
1807,0.9219735860824585,0.9219735860824585,no_control
1808,0.9394938349723816,0.9394938349723816,no_control
1809,0.95267653465271,0.95267653465271,no_control
1810,0.9590737819671631,0.9590737819671631,no_control
1811,0.9796353578567505,0.9796353578567505,no_control
1812,1.0051853656768799,1.0051853656768799,no_control
1813,1.0388507843017578,1.0388507843017578,no_control
1814,1.0746136903762817,1.0746136903762817,no_control
1815,1.0965030193328857,1.0965030193328857,no_control
1816,1.110138177871704,1.110138177871704,no_control
1817,1.0996211767196655,1.0996211767196655,no_control
1818,1.0919911861419678,1.0919911861419678,no_control
1819,1.0880930423736572,1.0880930423736572,no_control
1820,1.0876610279083252,1.0876610279083252,no_control
1821,1.0862700939178467,1.0862700939178467,no_control
1822,1.085758090019226,1.085758090019226,no_control
1823,1.0818127393722534,1.0818127393722534,no_control
1824,1.0832394361495972,1.0832394361495972,no_control
1825,1.0862064361572266,1.0862064361572266,no_control
1826,1.0909388065338135,1.0909388065338135,no_control
1827,1.0931549072265625,1.0931549072265625,no_control
1828,1.0914031267166138,1.0914031267166138,no_control
1829,1.0888396501541138,1.0888396501541138,no_control
1830,1.085440993309021,1.085440993309021,no_control
1831,1.0815716981887817,1.0815716981887817,no_control
1832,1.083267092704773,1.083267092704773,no_control
1833,1.08657968044281,1.08657968044281,no_control
1834,1.0997366905212402,1.0997366905212402,no_control
1835,1.1249682903289795,1.1249682903289795,no_control
1836,1.1506413221359253,1.1506413221359253,no_control
1837,1.1728243827819824,1.1728243827819824,no_control
1838,1.1801810264587402,1.1801810264587402,no_control
1839,1.1861183643341064,1.1861183643341064,no_control
1840,1.1863493919372559,1.1863493919372559,no_control
1841,1.1837632656097412,1.1837632656097412,no_control
1842,1.1822782754898071,1.1822782754898071,no_control
1843,1.1797391176223755,1.1797391176223755,no_control
1844,1.1757954359054565,1.1757954359054565,no_control
1845,1.172895908355713,1.172895908355713,no_control
1846,1.1680941581726074,1.1680941581726074,no_control
1847,1.1626273393630981,1.1626273393630981,no_control
1848,1.158066987991333,1.158066987991333,no_control
1849,1.1495416164398193,1.1495416164398193,no_control
1850,1.1466903686523438,1.1466903686523438,no_control
1851,1.143822431564331,1.143822431564331,no_control
1852,1.1441916227340698,1.1441916227340698,no_control
1853,1.1432472467422485,1.1432472467422485,no_control
1854,1.1436736583709717,1.1436736583709717,no_control
1855,1.1457576751708984,1.1457576751708984,no_control
1856,1.150902271270752,1.150902271270752,no_control
1857,1.1461551189422607,1.1461551189422607,no_control
1858,1.142425775527954,1.142425775527954,no_control
1859,1.1431834697723389,1.1431834697723389,no_control
1860,1.143039345741272,1.143039345741272,no_control
1861,1.1419670581817627,1.1419670581817627,no_control
1862,1.1386457681655884,1.1386457681655884,no_control
1863,1.1393282413482666,1.1393282413482666,no_control
1864,1.1408778429031372,1.1408778429031372,no_control
1865,1.144263505935669,1.144263505935669,no_control
1866,1.1487826108932495,1.1487826108932495,no_control
1867,1.154154658317566,1.154154658317566,no_control
1868,1.1573295593261719,1.1573295593261719,no_control
1869,1.163100004196167,1.163100004196167,no_control
1870,1.1686742305755615,1.1686742305755615,no_control
1871,1.1764622926712036,1.1764622926712036,no_control
1872,1.1798139810562134,1.1798139810562134,no_control
1873,1.179517149925232,1.179517149925232,no_control
1874,1.177390217781067,1.177390217781067,no_control
1875,1.1749361753463745,1.1749361753463745,no_control
1876,1.1757830381393433,1.1757830381393433,no_control
1877,1.175363302230835,1.175363302230835,no_control
1878,1.1793760061264038,1.1793760061264038,no_control
1879,1.18118417263031,1.18118417263031,no_control
1880,1.1798937320709229,1.1798937320709229,no_control
1881,1.1742026805877686,1.1742026805877686,no_control
1882,1.1702659130096436,1.1702659130096436,no_control
1883,1.1635044813156128,1.1635044813156128,no_control
1884,1.152340054512024,1.152340054512024,no_control
1885,1.1380784511566162,1.1380784511566162,no_control
1886,1.140472650527954,1.140472650527954,no_control
1887,1.1448981761932373,1.1448981761932373,no_control
1888,1.152571201324463,1.152571201324463,no_control
1889,1.1521046161651611,1.1521046161651611,no_control
1890,1.159913420677185,1.159913420677185,no_control
1891,1.163964033126831,1.163964033126831,no_control
1892,1.164443850517273,1.164443850517273,no_control
1893,1.1626635789871216,1.1626635789871216,no_control
1894,1.1623175144195557,1.1623175144195557,no_control
1895,1.1621888875961304,1.1621888875961304,no_control
1896,1.1638579368591309,1.1638579368591309,no_control
1897,1.1592142581939697,1.1592142581939697,no_control
1898,1.1496024131774902,1.1496024131774902,no_control
1899,1.138936996459961,1.138936996459961,no_control
1900,1.1254302263259888,1.1254302263259888,no_control
1901,1.1131389141082764,1.1131389141082764,no_control
1902,1.0978317260742188,1.0978317260742188,no_control
1903,1.0775725841522217,1.0775725841522217,no_control
1904,1.0574822425842285,1.0574822425842285,no_control
1905,1.0493412017822266,1.0493412017822266,no_control
1906,1.0417289733886719,1.0417289733886719,no_control
1907,1.023219347000122,1.023219347000122,no_control
1908,0.9951403737068176,0.9951403737068176,no_control
1909,0.9691111445426941,0.9691111445426941,no_control
1910,0.9440366625785828,0.9440366625785828,no_control
1911,0.922426700592041,0.922426700592041,no_control
1912,0.9016348719596863,0.9016348719596863,no_control
1913,0.9031068086624146,0.9031068086624146,no_control
1914,0.9019942879676819,0.9019942879676819,no_control
1915,0.9055652618408203,0.9055652618408203,no_control
1916,0.9032142162322998,0.9032142162322998,no_control
1917,0.8997859358787537,0.8997859358787537,no_control
1918,0.8952509760856628,0.8952509760856628,no_control
1919,0.8914709091186523,0.8914709091186523,no_control
1920,0.8878686428070068,0.8878686428070068,no_control
1921,0.8953529000282288,0.8953529000282288,no_control
1922,0.9019152522087097,0.9019152522087097,no_control
1923,0.9084739089012146,0.9084739089012146,no_control
1924,0.9112512469291687,0.9112512469291687,no_control
1925,0.9143626689910889,0.9143626689910889,no_control
1926,0.912097156047821,0.912097156047821,no_control
1927,0.9163963794708252,0.9163963794708252,no_control
1928,0.9200634956359863,0.9200634956359863,no_control
1929,0.9246814250946045,0.9246814250946045,no_control
1930,0.9167991280555725,0.9167991280555725,no_control
1931,0.9006398916244507,0.9006398916244507,no_control
1932,0.8871791362762451,0.8871791362762451,no_control
1933,0.8705469965934753,0.8705469965934753,no_control
1934,0.8546390533447266,0.8546390533447266,no_control
1935,0.8495451807975769,0.8495451807975769,no_control
1936,0.8478328585624695,0.8478328585624695,no_control
1937,0.850785493850708,0.850785493850708,no_control
1938,0.8433932662010193,0.8433932662010193,no_control
1939,0.840192973613739,0.840192973613739,no_control
1940,0.8420125246047974,0.8420125246047974,no_control
1941,0.8449445366859436,0.8449445366859436,no_control
1942,0.841593325138092,0.841593325138092,no_control
1943,0.8371338844299316,0.8371338844299316,no_control
1944,0.8304622173309326,0.8304622173309326,no_control
1945,0.8228315711021423,0.8228315711021423,no_control
1946,0.8159164190292358,0.8159164190292358,no_control
1947,0.8146084547042847,0.8146084547042847,no_control
1948,0.8153451681137085,0.8153451681137085,no_control
1949,0.8165299892425537,0.8165299892425537,no_control
1950,0.8140205144882202,0.8140205144882202,no_control
1951,0.8145422339439392,0.8145422339439392,no_control
1952,0.8131082653999329,0.8131082653999329,no_control
1953,0.8131614923477173,0.8131614923477173,no_control
1954,0.8242412805557251,0.8242412805557251,no_control
1955,0.8358270525932312,0.8358270525932312,no_control
1956,0.8531381487846375,0.8531381487846375,no_control
1957,0.8673255443572998,0.8673255443572998,no_control
1958,0.8803389668464661,0.8803389668464661,no_control
1959,0.8913136720657349,0.8913136720657349,no_control
1960,0.9024028778076172,0.9024028778076172,no_control
1961,0.8991816639900208,0.8991816639900208,no_control
1962,0.8934304714202881,0.8934304714202881,no_control
1963,0.8791540265083313,0.8791540265083313,no_control
1964,0.874148964881897,0.874148964881897,no_control
1965,0.8675804138183594,0.8675804138183594,no_control
1966,0.8626420497894287,0.8626420497894287,no_control
1967,0.8577736616134644,0.8577736616134644,no_control
1968,0.8620113134384155,0.8620113134384155,no_control
1969,0.8475381731987,0.8475381731987,no_control
1970,0.8354548811912537,0.8354548811912537,no_control
1971,0.8264614343643188,0.8264614343643188,no_control
1972,0.8184619545936584,0.8184619545936584,no_control
1973,0.8118538856506348,0.8118538856506348,no_control
1974,0.8064109683036804,0.8064109683036804,no_control
1975,0.8005799651145935,0.8005799651145935,no_control
1976,0.7902347445487976,0.7902347445487976,no_control
1977,0.7908427715301514,0.7908427715301514,no_control
1978,0.7865439057350159,0.7865439057350159,no_control
1979,0.7806100249290466,0.7806100249290466,no_control
1980,0.7703085541725159,0.7703085541725159,no_control
1981,0.7631651759147644,0.7631651759147644,no_control
1982,0.7522193789482117,0.7522193789482117,no_control
1983,0.73380446434021,0.73380446434021,no_control
1984,0.7155706286430359,0.7155706286430359,no_control
1985,0.7126979231834412,0.7126979231834412,no_control
1986,0.7132248878479004,0.7132248878479004,no_control
1987,0.7104535698890686,0.7104535698890686,no_control
1988,0.7041342854499817,0.7041342854499817,no_control
1989,0.7000629305839539,0.7000629305839539,no_control
1990,0.7006697058677673,0.7006697058677673,no_control
1991,0.7021299004554749,0.7021299004554749,no_control
1992,0.704603910446167,0.704603910446167,no_control
1993,0.7186986804008484,0.7186986804008484,no_control
1994,0.7365821003913879,0.7365821003913879,no_control
1995,0.7468065023422241,0.7468065023422241,no_control
1996,0.75709468126297,0.75709468126297,no_control
1997,0.7667908668518066,0.7667908668518066,no_control
1998,0.7806602120399475,0.7806602120399475,no_control
1999,0.7949107885360718,0.7949107885360718,no_control
2000,0.8103979229927063,0.8103979229927063,no_control
2001,0.814910352230072,0.814910352230072,no_control
2002,0.8031770586967468,0.8031770586967468,no_control
2003,0.7874190211296082,0.7874190211296082,no_control
2004,0.7700555324554443,0.7700555324554443,no_control
2005,0.7573546767234802,0.7573546767234802,no_control
2006,0.7433333992958069,0.7433333992958069,no_control
2007,0.7305607795715332,0.7305607795715332,no_control
2008,0.7226206660270691,0.7226206660270691,no_control
2009,0.7281073927879333,0.7281073927879333,no_control
2010,0.7359029650688171,0.7359029650688171,no_control
2011,0.7373543977737427,0.7373543977737427,no_control
2012,0.7380905151367188,0.7380905151367188,no_control
2013,0.7409160137176514,0.7409160137176514,no_control
2014,0.7441700100898743,0.7441700100898743,no_control
2015,0.7463052272796631,0.7463052272796631,no_control
2016,0.7415002584457397,0.7415002584457397,no_control
2017,0.7367297410964966,0.7367297410964966,no_control
2018,0.7311217784881592,0.7311217784881592,no_control
2019,0.7237363457679749,0.7237363457679749,no_control
2020,0.716378390789032,0.716378390789032,no_control
2021,0.709743082523346,0.709743082523346,no_control
2022,0.7048512697219849,0.7048512697219849,no_control
2023,0.6941869854927063,0.6941869854927063,no_control
2024,0.6930912733078003,0.6930912733078003,no_control
2025,0.6867028474807739,0.6867028474807739,no_control
2026,0.6861550807952881,0.6861550807952881,no_control
2027,0.6837772727012634,0.6837772727012634,no_control
2028,0.685043454170227,0.685043454170227,no_control
2029,0.6845492124557495,0.6845492124557495,no_control
2030,0.6907903552055359,0.6907903552055359,no_control
2031,0.6881486177444458,0.6881486177444458,no_control
2032,0.6863435506820679,0.6863435506820679,no_control
2033,0.6868358850479126,0.6868358850479126,no_control
2034,0.681810200214386,0.681810200214386,no_control
2035,0.6803893446922302,0.6803893446922302,no_control
2036,0.6793117523193359,0.6793117523193359,no_control
2037,0.6784449815750122,0.6784449815750122,no_control
2038,0.6791027784347534,0.6791027784347534,no_control
2039,0.6805102825164795,0.6805102825164795,no_control
2040,0.6876162886619568,0.6876162886619568,no_control
2041,0.6851238012313843,0.6851238012313843,no_control
2042,0.6758846640586853,0.6758846640586853,no_control
2043,0.6727275252342224,0.6727275252342224,no_control
2044,0.6677852869033813,0.6677852869033813,no_control
2045,0.6633673906326294,0.6633673906326294,no_control
2046,0.658582329750061,0.658582329750061,no_control
2047,0.6537088751792908,0.6537088751792908,no_control
2048,0.651363730430603,0.651363730430603,no_control
2049,0.6621901988983154,0.6621901988983154,no_control
2050,0.6668840050697327,0.6668840050697327,no_control
2051,0.6692906618118286,0.6692906618118286,no_control
2052,0.6662245392799377,0.6662245392799377,no_control
2053,0.6558676958084106,0.6558676958084106,no_control
2054,0.6518926024436951,0.6518926024436951,no_control
2055,0.6501681804656982,0.6501681804656982,no_control
2056,0.6476047039031982,0.6476047039031982,no_control
2057,0.6440633535385132,0.6440633535385132,no_control
2058,0.6410325765609741,0.6410325765609741,no_control
2059,0.6426786184310913,0.6426786184310913,no_control
2060,0.6413803100585938,0.6413803100585938,no_control
2061,0.6394347548484802,0.6394347548484802,no_control
2062,0.6397991180419922,0.6397991180419922,no_control
2063,0.6387972831726074,0.6387972831726074,no_control
2064,0.6367143988609314,0.6367143988609314,no_control
2065,0.6472159028053284,0.6472159028053284,no_control
2066,0.6551695466041565,0.6551695466041565,no_control
2067,0.6612045764923096,0.6612045764923096,no_control
2068,0.6696025729179382,0.6696025729179382,no_control
2069,0.6772103309631348,0.6772103309631348,no_control
2070,0.6861521005630493,0.6861521005630493,no_control
2071,0.7011001110076904,0.7011001110076904,no_control
2072,0.7117352485656738,0.7117352485656738,no_control
2073,0.7157805562019348,0.7157805562019348,no_control
2074,0.7137853503227234,0.7137853503227234,no_control
2075,0.712969958782196,0.712969958782196,no_control
2076,0.7112360596656799,0.7112360596656799,no_control
2077,0.7051368355751038,0.7051368355751038,no_control
2078,0.6928448677062988,0.6928448677062988,no_control
2079,0.6900944113731384,0.6900944113731384,no_control
2080,0.6888957619667053,0.6888957619667053,no_control
2081,0.6898152828216553,0.6898152828216553,no_control
2082,0.6935376524925232,0.6935376524925232,no_control
2083,0.6942260265350342,0.6942260265350342,no_control
2084,0.6976075768470764,0.6976075768470764,no_control
2085,0.6979624032974243,0.6979624032974243,no_control
2086,0.6980450749397278,0.6980450749397278,no_control
2087,0.6943860650062561,0.6943860650062561,no_control
2088,0.6865643262863159,0.6865643262863159,no_control
2089,0.6809200048446655,0.6809200048446655,no_control
2090,0.6800830364227295,0.6800830364227295,no_control
2091,0.6772280931472778,0.6772280931472778,no_control
2092,0.6742202043533325,0.6742202043533325,no_control
2093,0.6733079552650452,0.6733079552650452,no_control
2094,0.6665740013122559,0.6665740013122559,no_control
2095,0.6563943028450012,0.6563943028450012,no_control
2096,0.6454436779022217,0.6454436779022217,no_control
2097,0.6328445672988892,0.6328445672988892,no_control
2098,0.6239308714866638,0.6239308714866638,no_control
2099,0.6173388361930847,0.6173388361930847,no_control
2100,0.6173902153968811,0.6173902153968811,no_control
2101,0.6157933473587036,0.6157933473587036,no_control
2102,0.6146240234375,0.6146240234375,no_control
2103,0.6137641668319702,0.6137641668319702,no_control
2104,0.612033486366272,0.612033486366272,no_control
2105,0.611880898475647,0.611880898475647,no_control
2106,0.6142669320106506,0.6142669320106506,no_control
2107,0.6186746954917908,0.6186746954917908,no_control
2108,0.6208837032318115,0.6208837032318115,no_control
2109,0.6229053735733032,0.6229053735733032,no_control
2110,0.6244021058082581,0.6244021058082581,no_control
2111,0.6253395080566406,0.6253395080566406,no_control
2112,0.6305345892906189,0.6305345892906189,no_control
2113,0.6290271878242493,0.6290271878242493,no_control
2114,0.6255835890769958,0.6255835890769958,no_control
2115,0.624851644039154,0.624851644039154,no_control
2116,0.6263499855995178,0.6263499855995178,no_control
2117,0.6252562403678894,0.6252562403678894,no_control
2118,0.6194854974746704,0.6194854974746704,no_control
2119,0.6163834929466248,0.6163834929466248,no_control
2120,0.6140483617782593,0.6140483617782593,no_control
2121,0.6182579398155212,0.6182579398155212,no_control
2122,0.6211734414100647,0.6211734414100647,no_control
2123,0.6253189444541931,0.6253189444541931,no_control
2124,0.6251415014266968,0.6251415014266968,no_control
2125,0.629395067691803,0.629395067691803,no_control
2126,0.6434682011604309,0.6434682011604309,no_control
2127,0.6577830910682678,0.6577830910682678,no_control
2128,0.6690966486930847,0.6690966486930847,no_control
2129,0.6763730645179749,0.6763730645179749,no_control
2130,0.6728583574295044,0.6728583574295044,no_control
2131,0.6741191148757935,0.6741191148757935,no_control
2132,0.674713134765625,0.674713134765625,no_control
2133,0.6776107549667358,0.6776107549667358,no_control
2134,0.6810612082481384,0.6810612082481384,no_control
2135,0.6842641234397888,0.6842641234397888,no_control
2136,0.6801766753196716,0.6801766753196716,no_control
2137,0.6752452850341797,0.6752452850341797,no_control
2138,0.6725460290908813,0.6725460290908813,no_control
2139,0.6722311973571777,0.6722311973571777,no_control
2140,0.6732045412063599,0.6732045412063599,no_control
2141,0.671413779258728,0.671413779258728,no_control
2142,0.6719667911529541,0.6719667911529541,no_control
2143,0.6765096187591553,0.6765096187591553,no_control
2144,0.6809565424919128,0.6809565424919128,no_control
2145,0.6870542168617249,0.6870542168617249,no_control
2146,0.6931805610656738,0.6931805610656738,no_control
2147,0.6999005079269409,0.6999005079269409,no_control
2148,0.7054248452186584,0.7054248452186584,no_control
2149,0.7109458446502686,0.7109458446502686,no_control
2150,0.709590494632721,0.709590494632721,no_control
2151,0.7088202238082886,0.7088202238082886,no_control
2152,0.7104783654212952,0.7104783654212952,no_control
2153,0.7136566042900085,0.7136566042900085,no_control
2154,0.7220486998558044,0.7220486998558044,no_control
2155,0.724929928779602,0.724929928779602,no_control
2156,0.7288636565208435,0.7288636565208435,no_control
2157,0.7317789196968079,0.7317789196968079,no_control
2158,0.7317237854003906,0.7317237854003906,no_control
2159,0.7318996787071228,0.7318996787071228,no_control
2160,0.7282811403274536,0.7282811403274536,no_control
2161,0.7275397777557373,0.7275397777557373,no_control
2162,0.7311083674430847,0.7311083674430847,no_control
2163,0.7349525690078735,0.7349525690078735,no_control
2164,0.7350721955299377,0.7350721955299377,no_control
2165,0.7361916899681091,0.7361916899681091,no_control
2166,0.7399978041648865,0.7399978041648865,no_control
2167,0.7415106892585754,0.7415106892585754,no_control
2168,0.7457169890403748,0.7457169890403748,no_control
2169,0.7421697974205017,0.7421697974205017,no_control
2170,0.7461302876472473,0.7461302876472473,no_control
2171,0.7421863079071045,0.7421863079071045,no_control
2172,0.7466344833374023,0.7466344833374023,no_control
